# ----------------------------------------
# cornellsun.com
# Demographics: Age
# 20161108-20171129
# ----------------------------------------

,,Total,18-24,25-34,45-54,35-44,55-64
Age,Page Title,Sessions,Sessions,Sessions,Sessions,Sessions,Sessions
18-24,The Cornell Daily Sun | Independent Since 1880,"76,628","76,628",0,0,0,0
25-34,The Cornell Daily Sun | Independent Since 1880,"61,904",0,"61,904",0,0,0
45-54,The Cornell Daily Sun | Independent Since 1880,"57,210",0,0,"57,210",0,0
55-64,The Cornell Daily Sun | Independent Since 1880,"53,126",0,0,0,0,"53,126"
35-44,The Cornell Daily Sun | Independent Since 1880,"36,592",0,0,0,"36,592",0
65+,The Cornell Daily Sun | Independent Since 1880,"20,703",0,0,0,0,0
25-34,Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun,"15,505",0,"15,505",0,0,0
35-44,Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun,"13,260",0,0,0,"13,260",0
18-24,Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun,"11,968","11,968",0,0,0,0
45-54,Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun,"11,541",0,0,"11,541",0,0
,,"1,802,670","624,780","411,554","267,972","231,990","184,311"

Day Index,Sessions
6/8/17,"2,570"
6/9/17,"2,984"
6/10/17,"2,160"
6/11/17,"1,386"
6/12/17,"1,502"
6/13/17,"2,577"
6/14/17,"4,277"
6/15/17,"2,609"
6/16/17,"1,514"
6/17/17,"1,261"
6/18/17,"1,361"
6/19/17,"1,677"
6/20/17,"1,425"
6/21/17,"1,600"
6/22/17,"3,813"
6/23/17,"1,951"
6/24/17,"3,343"
6/25/17,"2,158"
6/26/17,"1,791"
6/27/17,"1,600"
6/28/17,"1,524"
6/29/17,"1,428"
6/30/17,"1,164"
7/1/17,"1,530"
7/2/17,"1,922"
7/3/17,"1,562"
7/4/17,"1,127"
7/5/17,"1,355"
7/6/17,"1,450"
7/7/17,"3,041"
7/8/17,"3,253"
7/9/17,"2,113"
7/10/17,"2,999"
7/11/17,"2,754"
7/12/17,"1,368"
7/13/17,"1,870"
7/14/17,"1,494"
7/15/17,843
7/16/17,807
7/17/17,919
7/18/17,882
7/19/17,785
7/20/17,772
7/21/17,748
7/22/17,631
7/23/17,770
7/24/17,"1,110"
7/25/17,"1,180"
7/26/17,"1,018"
7/27/17,797
7/28/17,682
7/29/17,834
7/30/17,"1,812"
7/31/17,"2,293"
8/1/17,"1,457"
8/2/17,"1,361"
8/3/17,"1,646"
8/4/17,"1,399"
8/5/17,"2,076"
8/6/17,"7,348"
8/7/17,"2,706"
8/8/17,"1,733"
8/9/17,"1,666"
8/10/17,"1,406"
8/11/17,"1,103"
8/12/17,877
8/13/17,977
8/14/17,"1,512"
8/15/17,"1,372"
8/16/17,"1,841"
8/17/17,"1,478"
8/18/17,"1,396"
8/19/17,"1,221"
8/20/17,"1,881"
8/21/17,"7,685"
8/22/17,"6,842"
8/23/17,"6,586"
8/24/17,"6,176"
8/25/17,"4,091"
8/26/17,"2,674"
8/27/17,"2,470"
8/28/17,"6,085"
8/29/17,"7,762"
8/30/17,"9,027"
8/31/17,"9,289"
9/1/17,"6,189"
9/2/17,"2,783"
9/3/17,"2,210"
9/4/17,"2,522"
9/5/17,"5,007"
9/6/17,"5,948"
9/7/17,"11,125"
9/8/17,"8,866"
9/9/17,"5,042"
9/10/17,"3,072"
9/11/17,"4,751"
9/12/17,"4,676"
9/13/17,"4,087"
9/14/17,"3,607"
9/15/17,"7,198"
9/16/17,"14,893"
9/17/17,"12,563"
9/18/17,"16,417"
9/19/17,"26,517"
9/20/17,"65,982"
9/21/17,"39,585"
9/22/17,"15,508"
9/23/17,"8,108"
9/24/17,"7,349"
9/25/17,"8,458"
9/26/17,"8,506"
9/27/17,"9,616"
9/28/17,"7,926"
9/29/17,"8,059"
9/30/17,"5,926"
10/1/17,"5,055"
10/2/17,"8,912"
10/3/17,"7,284"
10/4/17,"6,902"
10/5/17,"7,516"
10/6/17,"6,704"
10/7/17,"4,815"
10/8/17,"3,573"
10/9/17,"2,738"
10/10/17,"2,240"
10/11/17,"3,542"
10/12/17,"3,789"
10/13/17,"3,576"
10/14/17,"2,351"
10/15/17,"2,087"
10/16/17,"3,875"
10/17/17,"4,439"
10/18/17,"3,150"
10/19/17,"4,209"
10/20/17,"7,039"
10/21/17,"4,321"
10/22/17,"3,399"
10/23/17,"14,369"
10/24/17,"8,493"
10/25/17,"6,701"
10/26/17,"6,310"
10/27/17,"5,245"
10/28/17,"3,336"
10/29/17,"4,707"
10/30/17,"4,438"
10/31/17,"6,321"
11/1/17,"10,476"
11/2/17,"12,205"
11/3/17,"7,452"
11/4/17,"4,960"
11/5/17,"4,622"
11/6/17,"9,085"
11/7/17,"8,553"
11/8/17,"5,411"
11/9/17,"5,699"
11/10/17,"8,876"
11/11/17,"7,244"
11/12/17,"5,481"
11/13/17,"7,114"
11/14/17,"6,893"
11/15/17,"5,228"
11/16/17,"5,897"
11/17/17,"6,495"
11/18/17,"3,092"
11/19/17,"2,440"
11/20/17,"4,506"
11/21/17,"3,467"
11/22/17,"2,687"
11/23/17,"1,317"
11/24/17,"1,553"
11/25/17,"1,896"
11/26/17,"2,119"
11/27/17,"4,184"
11/28/17,"5,009"
11/29/17,"4,495"
,"2,045,663"
